"Tasas de desocupación y subocupación"
"Años","Meses","a) Tasas de desocupación nacional y urbana","b) Tasa de desocupación extendida 2/","c) Tasa de subocupación"
"Por ciento, a. e."
"Tasa de desocupación nacional","Tasa de desocupación urbana","NAIRU 1/","Desestacionalizada","Desestacionalizada","Tendencia"
"Desestacionalizada","Tendencia","Desestacionalizada","Tendencia"
"2018","Enero","3.29","3.34","3.99","3.97","","12.43","6.87","6.86"
"2018","Febrero","3.29","3.32","3.93","3.96","","12.15","6.59","6.85"
"2018","Marzo","3.28","3.30","3.95","3.98","","12.30","7.23","6.85"
"2018","Abril","3.38","3.30","4.20","4.00","","12.12","6.72","6.86"
"2018","Mayo","3.24","3.31","3.70","4.00","","12.17","6.90","6.86"
"2018","Junio","3.37","3.30","4.07","3.96","","12.15","6.70","6.86"
"2018","Julio","3.30","3.29","3.81","3.91","","12.45","6.84","6.85"
"2018","Agosto","3.27","3.29","4.08","3.86","","12.14","7.17","6.85"
"2018","Septiembre","3.33","3.29","3.76","3.81","","11.59","6.64","6.86"
"2018","Octubre","3.21","3.32","3.66","3.81","","12.20","6.79","6.85"
"2018","Noviembre","3.35","3.36","3.82","3.84","","12.42","6.89","6.82"
"2018","Diciembre","3.56","3.41","4.51","3.90","","12.78","7.00","6.82"
"2019","Enero","3.46","3.46","3.98","3.98","","12.16","6.77","6.86"
"2019","Febrero","3.42","3.50","4.11","4.06","","12.07","6.64","6.96"
"2019","Marzo","3.63","3.53","4.21","4.13","","12.27","7.14","7.09"
"2019","Abril","3.49","3.54","3.98","4.16","","12.64","7.34","7.22"
"2019","Mayo","3.55","3.54","4.31","4.16","","11.99","7.48","7.33"
"2019","Junio","3.55","3.53","4.15","4.15","","12.18","7.48","7.41"
"2019","Julio","3.53","3.53","4.17","4.15","","12.59","7.46","7.47"
"2019","Agosto","3.48","3.53","4.05","4.16","","12.37","7.20","7.53"
"2019","Septiembre","3.52","3.54","4.09","4.18","","12.39","7.80","7.63"
"2019","Octubre","3.62","3.55","4.28","4.21","","12.36","7.72","7.80"
"2019","Noviembre","3.54","3.54","4.37","4.23","","12.39","8.17","8.02"
"2019","Diciembre","3.08","3.53","3.87","4.24","","11.96","7.40","8.26"
"2020","Enero","3.66","3.50","4.25","4.22","","12.08","7.43","8.49"
"2020","Febrero","3.67","3.47","4.66","4.20","","12.22","9.04","8.68"
"2020","Marzo","3.31","3.44","4.10","4.18","","12.17","9.51","8.85"
"2020","Abril","4.68","5.03","5.29","5.33","","33.94","24.12","17.32"
"2020","Mayo","4.26","5.02","5.39","5.32","","33.44","29.27","17.34"
"2020","Junio","5.47","5.00","6.40","6.34","","25.24","20.06","17.16"
"2020","Julio","5.00","4.95","6.29","6.28","","22.25","17.39","16.81"
"2020","Agosto","4.91","4.87","6.18","6.19","","20.82","16.38","16.38"
"2020","Septiembre","4.80","4.77","6.11","6.08","","19.33","15.43","15.95"
"2020","Octubre","4.60","4.66","5.88","5.96","","18.00","15.10","15.58"
"2020","Noviembre","4.52","4.59","5.86","5.86","","17.97","15.70","15.29"
"2020","Diciembre","4.02","4.55","5.17","5.80","","17.87","14.90","15.02"
"2021","Enero","4.54","4.52","6.34","5.74","","18.23","15.08","14.70"
"2021","Febrero","4.58","4.48","5.61","5.67","","16.87","14.38","14.27"
"2021","Marzo","4.47","4.40","5.73","5.59","","16.21","13.79","13.75"
"2021","Abril","4.67","4.30","6.03","5.50","","15.94","13.04","13.25"
"2021","Mayo","4.06","4.19","5.24","5.41","","15.83","12.61","12.88"
"2021","Junio","4.00","4.09","5.16","5.33","","16.11","12.36","12.63"
"2021","Julio","4.06","4.02","5.36","5.25","","15.35","12.53","12.43"
"2021","Agosto","4.01","3.97","5.23","5.16","","14.98","12.65","12.19"
"2021","Septiembre","3.93","3.92","5.18","5.08","","15.47","12.08","11.84"
